# Memory Read Diagnostics — 2026-09-11 04:18:48
# Native reads: 6109918, 16283 calls/s, 8.76 MiB/s, 1.24 us/call, 0 failures/s
# Scalar calls: 5123972, Buffer/array calls: 985946, Total requested: 2256.88 MiB
# Distinct call sites: 7, Total failed reads: 392874
# Verdict guide: high Unique + low Max/Addr => races; low Unique + high Max/Addr => likely structural.
Total	Unique	Max/Addr	Verdict	LastSeen(s)	Caller(Type)	TopAddresses
314165	1024	492	mixed	8	GameHelper!ImportantUiElements.ReadAtlasMapNode  (StdTuple2D`1)	0x34FBCA174E0(x492) 0x34FBCA30300(x492) 0x34FBCA10320(x492) 0x34FBCA1ADC0(x492) 0x34FBCA18110(x492) 0x34FBCA168B0(x492) 0x34FBCA1A190(x492) 0x34FBCA38D20(x492) (+56733 untracked)
33794	1	33794	null/not-ready	0	GameHelper!<>c__DisplayClass14_0`2.<ReadStdMap>g__processNode|3  (StdMapNode`2)	0x0(x33794)
33794	7	16897	null/not-ready	0	GameHelper!AreaInstance.UpdateEntities  (StdMapNode`2)	0x0(x16897) 0x34FBD538F40(x9213) 0x34FBD355D30(x2854) 0x34FBDF80D80(x1739) 0x34FDB388A00(x1216) 0x34FB7EABAE0(x997) 0x34FBDF87080(x878)
10799	68	313	mixed	8	GameHelper!ImportantUiElements.UpdateAtlasMapData  (StdTuple2D`1)	0x34FC075A9A8(x313) 0x34FC076E688(x313) 0x34FC0759968(x313) 0x34FC076D648(x313) 0x34FC0765038(x313) 0x34FC0762FB8(x313) 0x34FC074FF08(x313) 0x34FC0761F78(x313)
209	1	209	null/not-ready	1	GameHelper!PluginUiElementReflection.TryValidateItemAddress  (EntityDetails)	0x0(x209)
59	6	27	mixed	24	GameHelper!PluginUiElementReflection.TryValidateItemAddress  (ItemStruct)	0x6CA9DAEE(x27) 0xDFFB83EB(x22) 0x300D6C92E00(x5) 0x1000000015(x3) 0xA0000(x1) 0xE00000010(x1)
54	1	54	null/not-ready	14	LootValue!LootValueCore.ReadUiElementText  (Byte[])	0x0(x54)

# ===== Top failing addresses per call site (value decoded as string/float when printable) =====

## GameHelper!ImportantUiElements.ReadAtlasMapNode  (StdTuple2D`1)  —  total 314165, unique 1024, max/addr 492, verdict mixed
  0x34FBCA174E0	x492  [f32:-0.0197091]
  0x34FBCA30300	x492  [f32:-0.0198989]
  0x34FBCA10320	x492  [f32:-0.0196548]
  0x34FBCA1ADC0	x492  [f32:-0.0197362]
  0x34FBCA18110	x492  [f32:-0.0197149]
  0x34FBCA168B0	x492  [f32:-0.0197032]
  0x34FBCA1A190	x492  [f32:-0.0197304]
  0x34FBCA38D20	x492  [f32:-0.0199648]
  0x34FBCA39540	x492  [f32:-0.0199686]
  0x34FBCA26CB0	x492  [f32:-0.0198272]
  0x34FBCA16CC0	x492  [f32:-0.0197052]
  0x34FBCA06CD0	x491  [f32:-0.0195831]
  0x34FBCA24000	x491  [f32:-0.0198059]
  0x34FBCA1E290	x491  [f32:-0.0197614]
  0x34FBCA25040	x491  [f32:-0.0198137]
  0x34FBCA02FE0	x491  [f32:-0.0195541]
  0x34FBCA25860	x491  [f32:-0.0198175]
  0x34FBCA21350	x491  [f32:-0.0197846]
  0x34FBC9F0340	x491  [f32:-0.0194107]
  0x34FBCA00B50	x491  [f32:-0.0195366]
  0x34FBC9FF2F0	x491  [f32:-0.019525]
  0x34FBCA2D650	x491  [f32:-0.0198776]
  0x34FBCA2BDF0	x491  [f32:-0.019866]
  0x34FBCA268A0	x491  [f32:-0.0198253]
  0x34FBC9FCE60	x491  [f32:-0.0195076]
  0x34FBCA01B90	x491  [f32:-0.0195444]
  0x34FBCA3A170	x491  [f32:-0.0199744]
  0x34FBCA24410	x491  [f32:-0.0198078]
  0x34FBC9FD680	x491  [f32:-0.0195115]
  0x34FBCA1EEC0	x491  [f32:-0.0197672]
  0x34FBCA2A180	x491  [f32:-0.0198524]
  0x34FBCA2A9A0	x491  [f32:-0.0198563]
  0x34FBCA21760	x491  [f32:-0.0197865]
  0x34FBC9F0750	x491  [f32:-0.0194127]
  0x34FBCA18520	x491  [f32:-0.0197168]
  0x34FBCA28D30	x491  [f32:-0.0198427]
  0x34FBC9FD270	x490  [f32:-0.0195095]
  0x34FBCA30B20	x490  [f32:-0.0199028]
  0x34FBC9FE2B0	x490  [f32:-0.0195173]
  0x34FBC9FEAD0	x490  [f32:-0.0195211]
  0x34FBCA00330	x490  [f32:-0.0195328]
  0x34FBCA060A0	x490  [f32:-0.0195773]
  0x34FBCA22BB0	x490  [f32:-0.0197962]
  0x34FBCA20310	x486  [f32:-0.0197769]
  0x34FBC9F1380	x376  [f32:-0.0194185]
  0x34FBCA71B20	x321  [f32:-0.0203987]
  0x34FC574FB10	x321  [f32:-3919.69]
  0x34FC574E2B0	x321  [f32:-3918.17]
  0x34FC5755060	x321  [f32:-3925.02]
  0x34FC5759D90	x321  [f32:-3929.85]
  0x34FC5750330	x321  [f32:-3920.2]
  0x34FC5750B50	x321  [f32:-3920.71]
  0x34FC574F2F0	x321  [f32:-3919.18]
  0x34FC5749DA0	x321  [f32:-3913.85]
  0x34FC5751370	x321  [f32:-3921.21]
  0x34FC5755880	x321  [f32:-3925.53]
  0x34FC574BE20	x321  [f32:-3915.88]
  0x34FC574C640	x321  [f32:-3916.39]
  0x34FC5757900	x321  [f32:-3927.56]
  0x34FC574ADE0	x321  [f32:-3914.87]
  0x34FBCA1A5A0	x321  [f32:-0.0197323]
  0x34FC57568C0	x321  [f32:-3926.55]
  0x34FC574CE60	x321  [f32:-3916.9]
  0x34FC5751B90	x321  [f32:-3921.72]
  (+56733 hits on addresses beyond the 64-address tracking cap)

## GameHelper!<>c__DisplayClass14_0`2.<ReadStdMap>g__processNode|3  (StdMapNode`2)  —  total 33794, unique 1, max/addr 33794, verdict null/not-ready
  0x0	x33794

## GameHelper!AreaInstance.UpdateEntities  (StdMapNode`2)  —  total 33794, unique 7, max/addr 16897, verdict null/not-ready
  0x0	x16897
  0x34FBD538F40	x9213  [f32:-0.0516503]
  0x34FBD355D30	x2854  [f32:-0.0442783]
  0x34FBDF80D80	x1739  [f32:-0.121119]
  0x34FDB388A00	x1216
  0x34FB7EABAE0	x997
  0x34FBDF87080	x878  [f32:-0.121308]

## GameHelper!ImportantUiElements.UpdateAtlasMapData  (StdTuple2D`1)  —  total 10799, unique 68, max/addr 313, verdict mixed
  0x34FC075A9A8	x313  [f32:-3.83848]
  0x34FC076E688	x313  [f32:-3.85782]
  0x34FC0759968	x313  [f32:-3.83749]
  0x34FC076D648	x313  [f32:-3.85683]
  0x34FC0765038	x313  [f32:-3.84865]
  0x34FC0762FB8	x313  [f32:-3.84666]
  0x34FC074FF08	x313  [f32:-3.82807]
  0x34FC0761F78	x313  [f32:-3.84567]
  0x34FC075B9E8	x313  [f32:-3.83947]
  0x34FC0751F88	x313  [f32:-3.83005]
  0x34FC0763FF8	x313  [f32:-3.84765]
  0x34FC0750F48	x313  [f32:-3.82906]
  0x34FC0758928	x313  [f32:-3.8365]
  0x34FC076C608	x313  [f32:-3.85584]
  0x34FC0752FC8	x313  [f32:-3.83104]
  0x34FC076B5C8	x313  [f32:-3.85485]
  0x34FC0785838	x312  [f32:-3.88038]
  0x34FC07837B8	x312  [f32:-3.8784]
  0x34FC0786878	x312  [f32:-3.88138]
  0x34FC07847F8	x312  [f32:-3.87939]
  0x34FD6E6C1D8	x157
  0x34FD6E784D8	x157
  0x34FD6E6E258	x157
  0x34FD6E75418	x157
  0x34FD6E674A8	x157
  0x34FD6E6B198	x157
  0x34FD6E77498	x157
  0x34FD6E76458	x157
  0x34FD6E6D218	x157
  0x34FD6E01388	x156
  0x34FC0591FB8	x156  [f32:-3.39256]
  0x34FC059E2B8	x156  [f32:-3.40446]
  0x34FC0590F78	x156  [f32:-3.39157]
  0x34FC059D278	x156  [f32:-3.40347]
  0x34FD6E5EA88	x156
  0x34FD6E5DA48	x156
  0x34FC0592FF8	x156  [f32:-3.39355]
  0x34FC059F2F8	x156  [f32:-3.40545]
  0x34FD6E66468	x156
  0x34FC059C238	x156  [f32:-3.40248]
  0x34FC05B4428	x57  [f32:-3.42603]
  0x34FC05B5468	x57  [f32:-3.42703]
  0x34FC05BEAB8	x56  [f32:-3.4362]
  0x34FC05BDA78	x56  [f32:-3.43521]
  0x34FC05B74E8	x56  [f32:-3.42901]
  0x34FC05C74D8	x56  [f32:-3.44463]
  0x34FC05BFAF8	x56  [f32:-3.43719]
  0x34FC05BCA38	x56  [f32:-3.43422]
  0x34FC05B64A8	x56  [f32:-3.42802]
  0x34FC05C6498	x56  [f32:-3.44364]
  0x34FC05C5458	x56  [f32:-3.44265]
  0x34FC05C8518	x56  [f32:-3.44562]
  0x34FC05D0308	x55  [f32:-3.45331]
  0x34FC05CF2C8	x55  [f32:-3.45232]
  0x34FC05D2388	x55  [f32:-3.45529]
  0x34FC05D1348	x55  [f32:-3.4543]
  0x34FC05E3FE8	x44  [f32:-3.47265]
  0x34FC05E5028	x44  [f32:-3.47364]
  0x34FC05E2FA8	x44  [f32:-3.47166]
  0x34FC05E1F68	x44  [f32:-3.47067]
  0x34FC05EAD98	x43  [f32:-3.47935]
  0x34FC05ECE18	x43  [f32:-3.48133]
  0x34FC05F4C08	x43  [f32:-3.48902]
  0x34FC05EBDD8	x43  [f32:-3.48034]

## GameHelper!PluginUiElementReflection.TryValidateItemAddress  (EntityDetails)  —  total 209, unique 1, max/addr 209, verdict null/not-ready
  0x0	x209

